wall_s,tick_s,age_s,fresh,roll,pitch,q0,dq0,tau0,q1,dq1,tau1,q2,dq2,tau2,q3,dq3,tau3,q4,dq4,tau4,q5,dq5,tau5,q6,dq6,tau6,q7,dq7,tau7,q8,dq8,tau8,q9,dq9,tau9,q10,dq10,tau10,q11,dq11,tau11
5.7e-07,0,inf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.010092563,8745.346,0.000737012,1,0.00211361120455,-0.00205152994022,0.0737380981445,0.0480270385742,0.0006103515625,0.414619445801,-0.00545501708984,-0.0018310546875,2.7385764122,-0.022087097168,-0.0018310546875,0.439414978027,-0.0479507446289,-0.0018310546875,2.5059928894,0.0116348266602,-0.0018310546875,2.40539312363,-0.0198745727539,0.0006103515625,0.0805282592773,-0.0827407836914,-0.0006103515625,-0.102119445801,0.0190353393555,-0.0030517578125,2.40677404404,0.00110626220703,-0.0067138671875,0.444755554199,0.0558853149414,-0.0030517578125,1.46221160889,-0.0398635864258,0.0018310546875,2.74902105331,-0.0136184692383,0.0042724609375
0.020115402,8745.356,0.000646779,1,0.00209600082599,-0.00207332894206,0.0734329223633,-0.0329971313477,-0.0042724609375,0.414543151855,0.0628280639648,-0.0018310546875,2.73865270615,-0.0341415405273,-0.0054931640625,0.439491271973,-0.0111770629883,-0.0042724609375,2.50584030151,-0.0124740600586,0.0006103515625,2.40531682968,-0.0222396850586,0.0006103515625,0.0806045532227,0.0387191772461,0.0030517578125,-0.10181427002,0.0175857543945,-0.0006103515625,2.40669775009,0.00728607177734,0.0006103515625,0.444755554199,-0.0625228881836,0.0006103515625,1.46221160889,-0.0130844116211,0.0018310546875,2.74902105331,-0.0341415405273,0.0018310546875
0.030175325,8745.366,0.000551784,1,0.00209783343598,-0.00209326064214,0.0735855102539,0.018196105957,-0.0018310546875,0.414695739746,-0.0346755981445,-0.0018310546875,2.73865270615,-0.0350570678711,-0.0042724609375,0.439109802246,-0.0133895874023,-0.0006103515625,2.50591659546,-0.00583648681641,0.0042724609375,2.40546941757,0.0220108032227,-0.0006103515625,0.0803756713867,0.0275802612305,0.0067138671875,-0.102043151855,0.0140762329102,-0.0018310546875,2.40677404404,0.00431060791016,-0.0054931640625,0.444679260254,-0.0628280639648,-0.0006103515625,1.46213531494,-0.00370025634766,0.0006103515625,2.74886846542,0.00835418701172,-0.0042724609375
0.040292098,8745.376,0.000509566,1,0.00205081445165,-0.00208027544431,0.0734329223633,-0.0180435180664,0.0006103515625,0.414619445801,3.81469726562e-05,-0.0006103515625,2.7385764122,-0.00385284423828,0.0018310546875,0.439033508301,-0.0718307495117,-0.0006103515625,2.50614547729,0.0214767456055,0.0018310546875,2.40546941757,0.0374984741211,0.0018310546875,0.0805282592773,-0.00293731689453,-0.0018310546875,-0.101890563965,0.0465774536133,-0.0018310546875,2.40669775009,0.0106430053711,0.0018310546875,0.444755554199,0.024299621582,-0.0018310546875,1.46213531494,0.0224685668945,0.0018310546875,2.74902105331,-0.00873565673828,0.0018310546875
0.050178058,8745.386,0.000278766,1,0.00202803779393,-0.0020808512345,0.0735092163086,0.00591278076172,0.0006103515625,0.414619445801,0.00667572021484,-0.0006103515625,2.73872900009,0.00308990478516,-0.0042724609375,0.439643859863,0.000419616699219,-0.0030517578125,2.50606918335,0.0177383422852,-0.0006103515625,2.40539312363,-0.00438690185547,-0.0006103515625,0.0806045532227,0.0442123413086,0.0030517578125,-0.10196685791,0.00514984130859,-0.0006103515625,2.40685033798,0.0144577026367,0.0030517578125,0.444602966309,0.00148773193359,0.0006103515625,1.46213531494,0.0142288208008,0.0018310546875,2.74894475937,-0.034065246582,0.0054931640625
0.060143851,8745.396,0.000176562,1,0.00202885805629,-0.00209507578984,0.0735092163086,0.021858215332,-0.0006103515625,0.41446685791,-0.0373458862305,-0.0018310546875,2.73865270615,0.0261306762695,0.0030517578125,0.439262390137,0.0594711303711,-0.0042724609375,2.50614547729,-0.00720977783203,0.0030517578125,2.40531682968,0.0129318237305,0.0018310546875,0.0803756713867,0.00934600830078,0.0030517578125,-0.10181427002,0.020637512207,-0.0006103515625,2.40669775009,0.00896453857422,-0.0018310546875,0.444831848145,0.025520324707,-0.0006103515625,1.462059021,0.0343704223633,0.0006103515625,2.74902105331,-0.0268173217773,0.0030517578125
0.070161759,8745.406,3.8724e-05,1,0.00205872068182,-0.00209804298356,0.0735855102539,0.0259780883789,0.0006103515625,0.414695739746,-0.00308990478516,-0.0030517578125,2.73865270615,-0.00278472900391,0.0030517578125,0.439643859863,0.0732040405273,0.0018310546875,2.5059928894,-0.00591278076172,-0.0006103515625,2.40531682968,-0.00240325927734,0.0018310546875,0.0801467895508,-0.0165176391602,-0.0006103515625,-0.101890563965,0.0368881225586,-0.0030517578125,2.40677404404,0.0329208374023,-0.0006103515625,0.444450378418,-0.0720596313477,-0.0006103515625,1.46213531494,-0.0424575805664,0.0006103515625,2.74894475937,0.00568389892578,0.0030517578125
0.080154056,8745.417,1.219e-06,1,0.00207119970582,-0.0020983745344,0.0735092163086,0.0156021118164,-0.0006103515625,0.414619445801,-0.0146102905273,-0.0030517578125,2.73872900009,-0.0107192993164,0.0018310546875,0.439338684082,-0.0468063354492,-0.0006103515625,2.50606918335,-0.00316619873047,-0.0006103515625,2.40539312363,0.0173568725586,0.0018310546875,0.0806045532227,-0.025749206543,0.0030517578125,-0.10196685791,-0.00217437744141,-0.0018310546875,2.40669775009,-0.00995635986328,0.0018310546875,0.444602966309,-0.00606536865234,-0.0006103515625,1.462059021,0.0176620483398,-0.0042724609375,2.74902105331,-0.018424987793,0.0030517578125
0.0901071,8745.426,0.000807332,1,0.00206226366572,-0.00212101149373,0.0735855102539,0.00476837158203,-0.0018310546875,0.41446685791,-0.00926971435547,-0.0006103515625,2.73872900009,0.0253677368164,-0.0006103515625,0.439338684082,0.000724792480469,0.0006103515625,2.5059928894,0.00438690185547,0.0018310546875,2.40539312363,0.0190353393555,0.0030517578125,0.0803756713867,0.0154495239258,0.0018310546875,-0.101890563965,0.0749588012695,-0.0042724609375,2.40669775009,-0.00972747802734,0.0042724609375,0.444755554199,0.00675201416016,0.0018310546875,1.46198272705,-0.0188064575195,0.0018310546875,2.74902105331,-0.00240325927734,-0.0018310546875
0.100165163,8745.436,0.000723923,1,0.00205873814411,-0.0021367194131,0.0735855102539,0.0676345825195,0.0006103515625,0.414619445801,-0.0413131713867,-0.0018310546875,2.73865270615,0.000343322753906,-0.0006103515625,0.439262390137,-0.0156021118164,-0.0018310546875,2.5059928894,0.00774383544922,-0.0006103515625,2.40539312363,0.00904083251953,0.0018310546875,0.0806045532227,-0.0446701049805,-0.0030517578125,-0.10196685791,-0.0334548950195,-0.0006103515625,2.40669775009,0.0117111206055,0.0030517578125,0.444679260254,-0.0943374633789,0.0018310546875,1.46213531494,0.00904083251953,0.0030517578125,2.74902105331,0.0219345092773,-0.0030517578125
0.110130783,8745.446,0.000579855,1,0.00206908793189,-0.00212790537626,0.0736618041992,0.0115585327148,-0.0030517578125,0.41431427002,-0.0226974487305,-0.0018310546875,2.73865270615,-0.0128555297852,0.0006103515625,0.439338684082,0.0819778442383,-0.0018310546875,2.50606918335,-0.0397872924805,0.0006103515625,2.40539312363,0.00720977783203,0.0030517578125,0.080451965332,0.0168228149414,-0.0006103515625,-0.102119445801,-0.0124740600586,-0.0018310546875,2.40677404404,-0.00621795654297,-0.0030517578125,0.444831848145,0.037956237793,0.0006103515625,1.462059021,-0.0252151489258,0.0018310546875,2.74902105331,0.00751495361328,0.0030517578125
0.12024576,8745.456,0.000516259,1,0.00209809513763,-0.00212472910061,0.0736618041992,0.017204284668,-0.0042724609375,0.414695739746,0.0142288208008,0.0006103515625,2.73880529404,0.0357437133789,-0.0054931640625,0.439262390137,0.00339508056641,-0.0006103515625,2.50606918335,-0.0112533569336,0.0018310546875,2.40539312363,0.0246047973633,0.0006103515625,0.0802993774414,0.0558853149414,0.0018310546875,-0.102043151855,-0.0202560424805,0.0006103515625,2.40669775009,0.00102996826172,-0.0042724609375,0.44490814209,0.00270843505859,0.0018310546875,1.46213531494,0.00286102294922,0.0030517578125,2.74902105331,0.00186920166016,0.0054931640625
0.130260839,8745.466,0.000494052,1,0.00210214429535,-0.00212080194615,0.0735855102539,-0.000495910644531,0.0018310546875,0.414848327637,-0.0387954711914,0.0006103515625,2.7385764122,-0.0113296508789,-0.0006103515625,0.439262390137,0.00377655029297,-0.0006103515625,2.5059928894,-0.0139236450195,0.0030517578125,2.40546941757,-0.0149917602539,0.0006103515625,0.0806045532227,-0.0362777709961,0.0018310546875,-0.10196685791,-0.00209808349609,-0.0006103515625,2.40677404404,0.022087097168,0.0018310546875,0.444755554199,-0.0516128540039,0.0030517578125,1.46213531494,-0.034294128418,0.0018310546875,2.74902105331,0.023078918457,-0.0006103515625
0.140111286,8745.476,0.000230057,1,0.00211464101449,-0.00209205644205,0.0737380981445,-0.00362396240234,0.0018310546875,0.41446685791,0.0675582885742,-0.0018310546875,2.73865270615,0.0226211547852,-0.0006103515625,0.439262390137,-0.0786209106445,-0.0030517578125,2.5059928894,-0.0232315063477,-0.0030517578125,2.40539312363,-0.032844543457,0.0030517578125,0.0806045532227,0.020866394043,0.0018310546875,-0.101890563965,0.0190353393555,0.0018310546875,2.40677404404,-0.00148773193359,-0.0067138671875,0.444755554199,0.0364303588867,0.0030517578125,1.46213531494,-0.0151443481445,0.0018310546875,2.74894475937,0.0329208374023,0.0018310546875
0.15011013,8745.486,6.5487e-05,1,0.0021133844275,-0.00210601906292,0.0735092163086,-0.0586318969727,-0.0006103515625,0.414390563965,-3.81469726562e-05,-0.0018310546875,2.7385764122,-0.00614166259766,0.0030517578125,0.439491271973,-0.0325393676758,0.0006103515625,2.5059928894,-0.00545501708984,0.0018310546875,2.40539312363,0.0353622436523,0.0018310546875,0.0805282592773,0.0393295288086,0.0042724609375,-0.102043151855,0.00545501708984,-0.0030517578125,2.40677404404,0.00904083251953,0.0006103515625,0.444984436035,0.0447463989258,-0.0018310546875,1.462059021,-0.0404739379883,0.0018310546875,2.74902105331,0.00705718994141,0.0030517578125
0.160116381,8745.496,0.001002296,1,0.00213413638994,-0.00209966604598,0.0735092163086,0.0410079956055,-0.0018310546875,0.41446685791,-0.0182723999023,-0.0006103515625,2.7385764122,-0.0258255004883,-0.0030517578125,0.439338684082,0.0757217407227,0.0006103515625,2.50591659546,-0.0298690795898,-0.0006103515625,2.40539312363,0.00591278076172,0.0018310546875,0.0803756713867,0.0243759155273,0.0018310546875,-0.10196685791,-0.0178146362305,0.0006103515625,2.40669775009,-0.0186538696289,0.0042724609375,0.444831848145,-0.0234603881836,0.0030517578125,1.46213531494,-0.048713684082,-0.0006103515625,2.74894475937,-0.00232696533203,-0.0067138671875
0.170084508,8745.506,0.000779792,1,0.00215087411925,-0.00211416976526,0.0735855102539,-0.0223922729492,-0.0030517578125,0.414543151855,0.000877380371094,-0.0006103515625,2.73865270615,-0.00408172607422,0.0006103515625,0.439338684082,-0.0119400024414,-0.0030517578125,2.5059928894,0.00217437744141,-0.0006103515625,2.40554571152,0.0479507446289,0.0018310546875,0.080451965332,0.0425338745117,0.0018310546875,-0.102119445801,-0.00850677490234,0.0006103515625,2.40662145615,0.023078918457,-0.0006103515625,0.444984436035,-0.0345993041992,0.0042724609375,1.46190643311,0.0302505493164,-0.0030517578125,2.74894475937,0.0117111206055,0.0042724609375
0.180110756,8745.516,0.000742704,1,0.00213052355684,-0.00210745027289,0.0735092163086,-0.00141143798828,-0.0042724609375,0.414619445801,0.0616836547852,0.0018310546875,2.73865270615,0.0209426879883,0.0018310546875,0.439338684082,0.0436782836914,-0.0030517578125,2.5059928894,0.00507354736328,0.0030517578125,2.40546941757,0.0266647338867,0.0006103515625,0.0806045532227,0.0497055053711,0.0030517578125,-0.102195739746,-0.00217437744141,0.0006103515625,2.40669775009,-0.021858215332,-0.0030517578125,0.444755554199,0.0442123413086,0.0018310546875,1.46221160889,0.00530242919922,0.0054931640625,2.74894475937,-0.00690460205078,0.0030517578125
0.190150961,8745.526,0.000640297,1,0.0021421648562,-0.00210183020681,0.0735855102539,-0.00286102294922,0.0018310546875,0.41446685791,0.041618347168,-0.0018310546875,2.7385764122,-0.0129318237305,0.0006103515625,0.439338684082,0.0188064575195,-0.0006103515625,2.50622177124,0.0320816040039,0.0018310546875,2.40531682968,0.0182723999023,-0.0006103515625,0.0805282592773,-0.037956237793,-0.0018310546875,-0.10181427002,0.00637054443359,-0.0030517578125,2.40669775009,0.00675201416016,-0.0006103515625,0.444679260254,-0.0817489624023,0.0018310546875,1.46213531494,0.0345230102539,-0.0006103515625,2.74902105331,0.0195693969727,0.0006103515625
0.200164361,8745.536,0.000527401,1,0.00212382129394,-0.00209985813126,0.0735092163086,-0.0186538696289,-0.0018310546875,0.414772033691,0.0238418579102,-0.0006103515625,2.73865270615,-0.0252151489258,-0.0115966796875,0.439338684082,-0.014533996582,-0.0042724609375,2.5059928894,-0.0114059448242,0.0006103515625,2.40539312363,-0.0127792358398,0.0018310546875,0.0805282592773,0.0569534301758,0.0042724609375,-0.10196685791,-0.0476455688477,-0.0018310546875,2.40669775009,0.0188827514648,-0.0006103515625,0.444679260254,0.052375793457,0.0030517578125,1.46213531494,-0.0774765014648,0.0018310546875,2.74902105331,-0.0217056274414,0.0006103515625
0.210110617,8745.546,0.000389528,1,0.00211294810288,-0.00209825229831,0.0735855102539,-0.029182434082,-0.0030517578125,0.41446685791,0.0835800170898,0.0006103515625,2.7385764122,-0.0220108032227,0.0018310546875,0.439491271973,0.0293350219727,-0.0006103515625,2.50606918335,-0.0225448608398,0.0018310546875,2.40546941757,0.0541305541992,0.0006103515625,0.0806045532227,0.092887878418,-0.0054931640625,-0.102043151855,-0.0452041625977,-0.0018310546875,2.40669775009,0.00164031982422,0.0018310546875,0.444526672363,0.0118637084961,0.0042724609375,1.46221160889,-0.00667572021484,0.0006103515625,2.74894475937,0.00194549560547,0.0018310546875
0.220108896,8745.556,0.00023938,1,0.00212764367461,-0.00212338496931,0.0735855102539,-0.0202560424805,0.0030517578125,0.414619445801,-0.0382614135742,0.0018310546875,2.73872900009,-0.0153732299805,-0.0054931640625,0.439262390137,-0.0136184692383,0.0006103515625,2.5059928894,-0.0119400024414,0.0006103515625,2.40554571152,0.0114059448242,0.0018310546875,0.0805282592773,-0.0201034545898,0.0006103515625,-0.102043151855,0.00492095947266,-0.0018310546875,2.40669775009,0.00637054443359,-0.0030517578125,0.444831848145,0.00423431396484,-0.0018310546875,1.46221160889,0.0278091430664,0.0006103515625,2.74902105331,-0.00171661376953,-0.0006103515625
0.230112097,8745.566,0.000134694,1,0.00211149943061,-0.0021145187784,0.0735855102539,-0.0225448608398,-0.0006103515625,0.414543151855,-0.0445938110352,-0.0006103515625,2.73865270615,-0.0107192993164,-0.0018310546875,0.439414978027,-0.0172805786133,-0.0018310546875,2.50606918335,-0.00247955322266,0.0006103515625,2.40539312363,-0.00774383544922,-0.0006103515625,0.0805282592773,0.00186920166016,-0.0018310546875,-0.102119445801,-0.00133514404297,-0.0030517578125,2.40677404404,-0.0207138061523,-0.0042724609375,0.444831848145,-0.0201034545898,0.0018310546875,1.46228790283,0.0185012817383,0.0018310546875,2.74894475937,-0.0155258178711,0.0042724609375
0.240106666,8745.577,3.263e-05,1,0.00210200482979,-0.00212060986087,0.0735092163086,0.0326919555664,-0.0018310546875,0.414543151855,-0.0252151489258,-0.0018310546875,2.73865270615,0.0168228149414,-0.0103759765625,0.439414978027,0.0392532348633,-0.0006103515625,2.50614547729,0.018196105957,0.0030517578125,2.40539312363,-0.00530242919922,0.0042724609375,0.080680847168,0.0326156616211,0.0006103515625,-0.10181427002,-0.0237655639648,0.0030517578125,2.40669775009,0.0167465209961,0.0006103515625,0.444755554199,-0.0392532348633,0.0006103515625,1.46213531494,-0.0154495239258,0.0018310546875,2.74894475937,0.021858215332,-0.0006103515625
0.250167842,8745.586,0.000912704,1,0.00212567159906,-0.0021342060063,0.0735092163086,-0.0197982788086,-0.0006103515625,0.41431427002,-0.0783920288086,-0.0018310546875,2.7385764122,0.00888824462891,-0.0054931640625,0.439567565918,0.0121688842773,-0.0006103515625,2.5059928894,0.00492095947266,0.0006103515625,2.40531682968,-0.011100769043,0.0042724609375,0.0805282592773,0.034065246582,-0.0018310546875,-0.102272033691,0.0223159790039,-0.0018310546875,2.40685033798,0.0106430053711,0.0018310546875,0.444450378418,0.00835418701172,-0.0006103515625,1.46221160889,0.0175094604492,0.0018310546875,2.74902105331,0.00530242919922,0.0006103515625
