run,shift_mm,lift_mm,kp,kd,timing_scale,friction_scale,returncode,pass,reason,clearance_mm,support_margin_mm,roll_deg,pitch_deg,peak_torque_nm,tracking_error_rad,joint_rate_rad_s,touchdown_velocity_m_s,final_joint_error_rad
28,60,15,180,3.5,0.75,0.5,0,True,,6.443470584,92.88604966,0.3631555246,0.6632998489,9.485102163,0.05291937173,0.6358433803,-0.01506899617,0.3375551313
29,60,15,180,3.5,0.75,1.0,0,True,,6.443470584,92.88604966,0.3631555246,0.6632998489,9.485102163,0.05291937173,0.6358433803,-0.01506899617,0.3375551313
30,60,15,180,3.5,0.75,1.5,0,True,,6.966557703,93.67049627,0.6226549924,0.9821066668,9.585644735,0.05352106254,0.5069070907,-0.001328700758,0.3384210836
31,60,15,180,3.5,1.0,0.5,0,True,,6.431499872,92.95294873,0.3575134135,0.6555842647,9.434087361,0.05218948694,0.6358433803,-0.005071630966,0.3375553875
32,60,15,180,3.5,1.0,1.0,0,True,,6.431499872,92.95294873,0.3575134135,0.6555842647,9.434087361,0.05218948694,0.6358433803,-0.005071630966,0.3375553875
33,60,15,180,3.5,1.0,1.5,0,True,,6.893971034000001,93.7518457,0.6102364222,0.9622531975,9.463862954,0.05263000048,0.5069070907,-0.001539031958,0.3384219041
34,60,15,180,3.5,1.25,0.5,0,True,,6.418295948,92.98140165000001,0.3558036494,0.6532876445,9.434116936,0.05214606008,0.6358433803,-0.0007616195877,0.3375555114
35,60,15,180,3.5,1.25,1.0,0,True,,6.418295948,92.98140165000001,0.3558036494,0.6532876445,9.434116936,0.05214606008,0.6358433803,-0.0007616195877,0.3375555114
36,60,15,180,3.5,1.25,1.5,0,True,,6.817535758,93.79686918,0.6057379998,0.9549836838,9.46388104,0.05231343424,0.5069070907,-0.001214394908,0.338421845
37,60,16,140,2.5,0.75,0.5,0,True,,5.917216833,91.51764626,0.4593981752,0.8847787107,9.743426699,0.06977586484,0.8088331093,-0.01136848118,0.3433091766
38,60,16,140,2.5,0.75,1.0,0,True,,5.917216833,91.51764626,0.4593981752,0.8847787107,9.743426699,0.06977586484,0.8088331093,-0.01136848118,0.3433091766
39,60,16,140,2.5,0.75,1.5,0,True,,6.487388581,88.96988784999999,0.7256999594,1.246031827,9.888433474,0.07085093893,0.6532454079,-0.001458596289,0.3445398343
40,60,16,140,2.5,1.0,0.5,0,True,,5.590780633,91.55868036000001,0.4544383094,0.8814746214,9.74365804,0.06931959635,0.8088331093,-0.0004625676681,0.3433140802
41,60,16,140,2.5,1.0,1.0,0,True,,5.590780633,91.55868036000001,0.4544383094,0.8814746214,9.74365804,0.06931959635,0.8088331093,-0.0004625676681,0.3433140802
42,60,16,140,2.5,1.0,1.5,0,True,,6.396556925,89.26355226,0.712471288,1.223619881,9.792547438,0.06980191061,0.6532454079,-0.001425446171,0.3445414607
43,60,16,140,2.5,1.25,0.5,0,True,,5.577664927,91.52261562,0.4533770085,0.8826413977,9.743871238,0.06932117974,0.8088331093,-0.0007909488279,0.3433154297
44,60,16,140,2.5,1.25,1.0,0,True,,5.577664927,91.52261562,0.4533770085,0.8826413977,9.743871238,0.06932117974,0.8088331093,-0.0007909488279,0.3433154297
45,60,16,140,2.5,1.25,1.5,0,True,,6.3397113890000005,89.35901312,0.7080061877,1.216095451,9.792519042,0.06966808887,0.6532454079,-0.001071057148,0.3445420877
46,60,16,180,3.5,0.75,0.5,0,True,,7.4464101209999995,92.86693811,0.3631555246,0.6632998489,9.485102163,0.05291937173,0.6358433803,-0.01665647659,0.3375549513
47,60,16,180,3.5,0.75,1.0,0,True,,7.4464101209999995,92.86693811,0.3631555246,0.6632998489,9.485102163,0.05291937173,0.6358433803,-0.01665647659,0.3375549513
48,60,16,180,3.5,0.75,1.5,0,True,,8.010344112,93.61995378,0.6226549924,0.9821066668,9.585644735,0.05352106254,0.5069070907,-0.003074205534,0.3384210409
49,60,16,180,3.5,1.0,0.5,0,True,,7.434839521,92.94263031,0.3575134135,0.6555842647,9.434080803,0.05218948694,0.6358433803,-0.009046253137,0.337555341
50,60,16,180,3.5,1.0,1.0,0,True,,7.434839521,92.94263031,0.3575134135,0.6555842647,9.434080803,0.05218948694,0.6358433803,-0.009046253137,0.337555341
51,60,16,180,3.5,1.0,1.5,0,True,,7.895719449,93.7195117,0.6102364222,0.9622531975,9.463853273,0.05263000048,0.5069070907,-0.001438369011,0.3384220017
52,60,16,180,3.5,1.25,0.5,0,True,,7.413441061,92.97258337,0.3558036494,0.6532876445,9.434112711,0.05214603898,0.6358433803,-0.0006106735256,0.3375553514
53,60,16,180,3.5,1.25,1.0,0,True,,7.413441061,92.97258337,0.3558036494,0.6532876445,9.434112711,0.05214603898,0.6358433803,-0.0006106735256,0.3375553514
54,60,16,180,3.5,1.25,1.5,0,True,,7.779968704,93.77163513,0.6057379998,0.9549836838,9.463888316,0.05231349246,0.5069070907,-0.001315672978,0.3384217229
55,65,14,140,2.5,0.75,0.5,0,True,,6.041694623,85.38110112,0.5282826299,0.9828207837,10.24886789,0.07346767429,0.8088331093,-0.008560415696,0.3725004861
56,65,14,140,2.5,0.75,1.0,0,True,,6.041694623,85.38110112,0.5282826299,0.9828207837,10.24886789,0.07346767429,0.8088331093,-0.008560415696,0.3725004861
57,65,14,140,2.5,0.75,1.5,0,True,,7.91013396,82.54354291,0.8171096349,1.376642581,10.40425389,0.07456768602,0.6532454079,-0.00112389244,0.3738657992
58,65,14,140,2.5,1.0,0.5,0,True,,5.839819318999999,85.45260391,0.5201711735,0.977463191,10.23135168,0.07273089064,0.8088331093,-0.0007086002216,0.3725049276
59,65,14,140,2.5,1.0,1.0,0,True,,5.839819318999999,85.45260391,0.5201711735,0.977463191,10.23135168,0.07273089064,0.8088331093,-0.0007086002216,0.3725049276
60,65,14,140,2.5,1.0,1.5,0,True,,7.780107720999999,82.94478193,0.7985265406,1.346567617,10.26946749,0.07328938485,0.6532454079,-0.0011467316,0.3738655905
61,65,14,140,2.5,1.25,0.5,0,True,,5.827841412000001,85.42858712,0.5182146482,0.9780784078,10.23154434,0.0727321968,0.8088331093,-0.0007165665301,0.3725070384
62,65,14,140,2.5,1.25,1.0,0,True,,5.827841412000001,85.42858712,0.5182146482,0.9780784078,10.23154434,0.0727321968,0.8088331093,-0.0007165665301,0.3725070384
63,65,14,140,2.5,1.25,1.5,0,True,,7.690718753,83.07455675,0.7927815631,1.336692172,10.26941118,0.07300095006,0.6532454079,-0.0008787296384,0.3738672754
64,65,14,180,3.5,0.75,0.5,0,True,,7.089259078,90.48399274,0.4151071316,0.734274185,9.965915524,0.05565704379,0.6358433803,-0.01478195769,0.3663364899
65,65,14,180,3.5,0.75,1.0,0,True,,7.089259078,90.48399274,0.4151071316,0.734274185,9.965915524,0.05565704379,0.6358433803,-0.01478195769,0.3663364899
66,65,14,180,3.5,0.75,1.5,0,True,,8.677522284999998,88.29000085999999,0.6944598996,1.077240281,10.05546851,0.05618204338,0.5069070907,-0.0008538844915,0.3672819306
67,65,14,180,3.5,1.0,0.5,0,True,,7.081639161,90.629282,0.4077537819,0.7245251342,9.893904893,0.05478328466,0.6358433803,-0.0004111688257,0.3663374393
68,65,14,180,3.5,1.0,1.0,0,True,,7.081639161,90.629282,0.4077537819,0.7245251342,9.893904893,0.05478328466,0.6358433803,-0.0004111688257,0.3663374393
69,65,14,180,3.5,1.0,1.5,0,True,,8.528236205999999,88.60698282,0.6800613473,1.05358915,9.911171354,0.05515630538,0.5069070907,-0.001344043929,0.3672823714
